customer_id,full_name,country,segment,signup_date,updated_at
C0001,Farid Rəhimov,Georgia,Retail,2023-06-30,2023-10-02T02:51:03Z
C0002,Nihat Abbasova,Türkiye,Retail,2024-12-31,2026-05-17T14:02:18Z
C0003,Nihat Ağayev,Kazakhstan,Corporate,2025-02-16,2026-06-28T00:07:35Z
C0004,Elçin Qasımova,Germany,Retail,2024-07-25,2026-01-05T00:42:29Z
C0005,Nigar Şirinov,azerbaijan,Corporate,2023-05-25,2025-05-26T01:10:00Z
C0006,Nigar Ağayev,UAE,Retail,2023-03-17,2023-11-15T19:01:10Z
C0007,Kamran Kərimova,AZE,Retail,2024-08-17,2025-11-15T06:16:49Z
C0008,Sevinc Bağırov,azerbaijan,Retail,2025-01-28,2025-07-14T06:57:51Z
C0009,Vüsal Quliyeva,Türkiye,SME,2025-01-06,2025-07-24T12:56:48Z
C0010,Ləman Nəbiyev,AZE,Retail,2025-04-02,2025-11-03T09:20:49Z
C0011,Ləman Mustafayeva,Türkiye,Retail,2024-08-05,2025-01-19T08:07:14Z
C0012,Murad Zeynalova,Germany,Retail,2024-02-01,2025-12-10T20:06:54Z
C0013,Könül Əliyeva,Türkiye,Retail,2024-01-16,2024-09-22T17:51:27Z
C0014,Ləman Ağayev,Azerbaijan,SME,2023-01-24,2023-09-08T07:53:54Z
C0015,Rəşad Ağayev,Georgia,Retail,2026-06-16,2026-07-01T10:18:22Z
C0016,Nihat Mahmudova,Azerbaijan,SME,2026-03-12,2026-06-30T01:08:25Z
C0017,Aytən Şirinov,Azerbaijan,Corporate,2026-02-06,2026-06-21T16:34:44Z
C0018,Farid Bağırov,AZE,SME,2023-10-28,2026-03-30T05:04:37Z
C0019,Nigar Şirinov,Azerbaijan,Corporate,2025-10-02,2026-07-28T05:31:11Z
C0020,Əli Osmanova,Azerbaijan,SME,2024-10-15,2025-03-05T00:25:19Z
C0021,Elvin Mahmudova,Azerbaijan,Retail,2024-09-21,2025-03-13T11:01:37Z
C0022,Cavid Osmanova,Azerbaijan,Retail,2025-06-12,2025-09-25T09:52:33Z
C0023,Emin Abbasova,Georgia,Retail,2026-01-14,2026-06-04T23:50:05Z
C0024,Əli Sultanov,Germany,Retail,2024-11-28,2025-05-22T21:00:15Z
C0025,Farid Mustafayeva,Azerbaijan,SME,2023-02-23,2025-08-26T04:15:46Z
C0026,Farid Zeynalova,Germany,Retail,2026-06-19,2026-07-04T07:03:13Z
C0027,Kamran Sultanov,Azerbaijan,Retail,2023-03-30,2025-05-06T11:56:55Z
C0028,Nihat Sultanov,Kazakhstan,Retail,2025-08-22,2025-08-27T20:19:19Z
C0029,Emin İbrahimov,Azerbaijan,Retail,2025-04-17,2025-06-24T06:07:15Z
C0030,Rəşad Bağırov,Azerbaijan,Corporate,2026-07-01,2026-07-21T11:04:13Z
C0031,Xatirə Osmanova,Turkiye,Retail,2024-01-10,2026-07-17T03:03:31Z
C0032,Tural Mahmudova,azerbaijan,Corporate,2023-04-18,2026-07-03T06:32:54Z
C0033,Xatirə Hüseynova,Georgia,Retail,2024-02-26,2025-06-04T23:24:06Z
C0034,Rüfət Sultanov,Germany,Corporate,2023-01-26,2023-11-04T11:25:31Z
C0035,Fidan Cəfərov,Azerbaijan,Retail,2023-01-12,2025-10-17T23:15:44Z
C0036,Şəbnəm Hüseynova,Azerbaijan,Retail,2023-05-21,2024-02-03T07:47:49Z
C0037,Tural Musayev,Azerbaijan,Retail,2025-02-23,2025-06-09T19:09:14Z
C0038,Rəşad Səfərova,azerbaijan,Retail,2023-12-12,2024-07-17T06:21:16Z
C0039,Emin Vəliyeva,Georgia,Corporate,2024-01-22,2025-07-17T11:16:16Z
C0040,Sevinc İbrahimov,Azerbaijan,VIP,2023-07-06,2024-07-22T00:41:57Z
C0041,Əli İsmayılov,Azerbaijan,Retail,2025-04-02,2026-06-23T13:48:27Z
C0042,Anar Osmanova,UAE,SME,2023-09-26,2025-02-19T04:06:38Z
C0043,Şəbnəm Mahmudova,azerbaijan,Retail,2024-08-05,2024-08-23T16:51:45Z
C0044,Könül Musayev,Georgia,Retail,2024-07-18,2025-03-09T14:39:23Z
C0045,Emin Mahmudova,Azerbaijan,Retail,2024-02-24,2024-05-25T01:15:02Z
C0046,Əli Zeynalova,Azerbaijan,Retail,2023-10-15,2025-11-08T20:36:42Z
C0047,Türkan Nəbiyev,Germany,SME,2025-02-21,2026-02-25T13:34:04Z
C0048,Aytən Şirinov,Germany,SME,2025-12-08,2026-07-10T18:32:29Z
C0049,Vüsal Bağırov,Georgia,Retail,2023-12-28,2025-06-23T15:17:24Z
C0050,Murad Zeynalova,AZE,Retail,2025-01-08,2025-06-25T16:37:17Z
C0051,Nərmin Həsənov,Azerbaijan,Retail,2023-11-15,2025-12-11T06:37:53Z
C0052,Gülnar Qasımova,azerbaijan,SME,2025-03-20,2026-06-24T01:21:07Z
C0053,Vüsal Mustafayeva,Azerbaijan,SME,2024-10-31,2025-11-18T17:12:32Z
C0054,Murad Rəhimov,Georgia,VIP,2025-04-27,2026-01-17T14:59:38Z
C0055,Aysel Kərimova,Azerbaijan,SME,2024-04-27,2026-07-05T17:29:34Z
C0056,Farid Abbasova,UAE,Retail,2025-12-14,2026-07-07T07:06:36Z
C0057,Türkan Quliyeva,Azerbaijan,Corporate,2024-12-02,2025-10-07T10:59:32Z
C0058,Fidan Bağırov,Azerbaijan,Retail,2025-11-17,2026-05-19T03:23:44Z
C0059,Cavid Zeynalova,Azerbaijan,Retail,2024-11-02,2026-04-01T00:59:21Z
C0060,Murad Qasımova,AZE,Corporate,2026-06-24,2026-06-30T04:06:52Z
C0061,Aytən Kərimova,Turkiye,Retail,2024-09-04,2025-02-23T13:04:03Z
C0062,Elvin Həsənov,Germany,Corporate,2024-09-19,2025-09-23T19:52:46Z
C0063,Nihat İbrahimov,AZE,Corporate,2023-07-23,2024-08-26T01:24:50Z
C0064,Anar Həsənov,AZE,VIP,2025-04-12,2026-08-04T05:32:34Z
C0065,Tural İbrahimov,UAE,Retail,2025-12-31,2026-07-17T18:19:36Z
C0066,Vüsal Kərimova,azerbaijan,Retail,2024-04-29,2025-02-10T18:47:31Z
C0067,Nigar Şirinov,Azerbaijan,Retail,2023-01-26,2026-06-01T17:45:13Z
C0068,Murad Həsənov,Türkiye,Corporate,2024-03-29,2024-08-17T10:30:39Z
C0069,Rəşad İsmayılov,Kazakhstan,Retail,2024-12-30,2025-12-24T09:34:41Z
C0070,Vüsal Məmmədov,Azerbaijan,Retail,2025-08-11,2025-09-20T09:36:56Z
C0071,Murad Abbasova,Kazakhstan,Retail,2024-07-23,2025-03-02T14:12:22Z
C0072,Könül Əliyeva,Kazakhstan,Retail,2023-08-02,2023-08-27T20:13:36Z
C0073,Emin Hüseynova,Kazakhstan,Corporate,2023-01-20,2024-01-12T08:39:28Z
C0074,Murad Mustafayeva,Georgia,Retail,2023-06-08,2026-07-17T13:24:57Z
C0075,Gülnar Abbasova,azerbaijan,SME,2023-05-23,2023-12-03T13:38:39Z
C0076,Aynur Həsənov,UAE,Retail,2025-02-16,2025-11-12T00:35:11Z
C0077,Gülnar Ağayev,Azerbaijan,SME,2024-05-17,2024-10-12T08:25:10Z
C0078,Tural Quliyeva,AZE,Retail,2025-10-09,2026-06-09T07:17:08Z
C0079,Könül Quliyeva,Azerbaijan,Retail,2023-07-16,2025-06-02T14:27:12Z
C0080,Türkan Əliyeva,Germany,Retail,2024-09-14,2026-07-13T17:09:04Z
C0081,Türkan Səfərova,azerbaijan,Retail,2024-11-09,2026-01-20T12:51:20Z
C0082,Kamran Əliyeva,AZE,Retail,2026-04-23,2026-06-18T10:47:57Z
C0083,Əli Məmmədov,Georgia,Retail,2024-11-11,2026-02-09T22:38:27Z
C0084,Orxan Musayev,UAE,Retail,2023-08-14,2025-08-08T05:41:10Z
C0085,Elçin Mustafayeva,Azerbaijan,Retail,2023-03-21,2025-12-06T05:43:59Z
C0086,Gülnar Nəbiyev,Azerbaijan,Retail,2024-01-04,2026-01-17T11:18:09Z
C0087,Tural Mustafayeva,Turkiye,Retail,2024-04-26,2025-11-03T04:16:46Z
C0088,Şəbnəm Hüseynova,Türkiye,VIP,2024-02-27,2026-04-30T10:14:51Z
C0089,Aytən Bağırov,Azerbaijan,Retail,2025-02-11,2026-04-24T20:46:24Z
C0090,Murad Səfərova,Germany,VIP,2023-02-08,2025-06-11T08:16:24Z
C0091,Aysel Hüseynova,Azerbaijan,Retail,2023-02-11,2024-11-11T03:12:51Z
C0092,Elvin Səfərova,Azerbaijan,SME,2023-02-02,2024-07-27T17:44:53Z
C0093,Tural Şirinov, Georgia ,Retail,2023-12-14,2025-05-28T14:04:50Z
C0094,Zeynəb Osmanova,Georgia,Retail,2025-07-01,2025-08-10T02:40:54Z
C0095,Fidan İsmayılov,Kazakhstan,SME,2023-11-05,2025-10-10T21:12:05Z
C0096,Könül Mustafayeva,UAE,Corporate,2024-07-17,2026-01-19T11:25:38Z
C0097,Şəbnəm Kərimova,Kazakhstan,SME,2023-05-23,2023-06-26T03:32:04Z
C0098,Lalə Nəbiyev,Turkiye,Corporate,2026-05-16,2026-06-04T07:38:38Z
C0099,Aynur Səfərova,Azerbaijan,Retail,2023-05-04,2024-12-12T18:04:37Z
C0100,Zeynəb Rəhimov,Germany,Retail,2023-12-22,2025-10-07T07:31:23Z
C0101,Ləman Əliyeva,UAE,VIP,2023-10-10,2026-05-02T05:04:06Z
C0102,Farid Sultanov,Türkiye,Retail,2024-09-28,2025-06-17T07:42:52Z
C0103,Vüsal Osmanova,Türkiye,Retail,2026-06-09,2026-08-12T03:59:48Z
C0104,Elvin Mustafayeva,Azerbaijan,Retail,2023-08-22,2026-03-10T09:00:00Z
C0104,Elvin Mustafayeva,Azerbaijan,SME,2023-08-22,2026-06-20T11:00:00Z
C0105,Xatirə Nəbiyev,AZE,Corporate,2025-10-11,2025-12-23T01:23:44Z
C0106,Emin Ağayev,Türkiye,Retail,2023-04-03,2026-01-23T00:53:45Z
C0107,Tural Qasımova,Azerbaijan,SME,2025-06-11,2025-07-26T10:17:25Z
C0108,Murad Qasımova,Türkiye,Corporate,2024-01-15,2024-09-17T17:03:15Z
C0109,Tural Abbasova,Türkiye,SME,2023-09-29,2024-04-18T08:24:22Z
C0110,Ləman İsmayılov,Azerbaijan,SME,2025-07-08,2026-02-19T00:04:25Z
C0111,Emin Nəbiyev,azerbaijan,Retail,2023-03-05,2026-08-07T17:47:21Z
C0112,Nigar Bağırov,Azerbaijan,Retail,2025-01-07,2026-01-10T07:54:55Z
C0113,Emin Bağırov,Türkiye,Retail,2024-08-03,2026-02-28T14:09:41Z
C0114,Şəbnəm Quliyeva,Georgia,Retail,2024-07-20,2025-04-15T08:42:41Z
C0115,Aysel Şirinov,Turkiye,Retail,2025-02-14,2026-03-11T01:39:31Z
C0116,Türkan Quliyeva,TURKEY,Corporate,2026-06-06,2026-07-11T11:20:52Z
C0117,Murad Hüseynova,azerbaijan,Retail,2024-03-09,2024-04-05T13:56:57Z
C0118,Elvin Kərimova,Azerbaijan,SME,2023-11-18,2026-03-10T11:01:54Z
C0119,Nigar Mahmudova,Azerbaijan,Retail,2024-11-18,2026-04-22T09:32:44Z
